,matrix1,matrix2,dopant1,dopant2,dopant3,dopant4,d1pct,d2pct,d3pct,d4pct
45,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,66.66666666666667,100.0,33.333333333333336
46,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,66.66666666666667,100.0,66.66666666666667
47,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,66.66666666666667,100.0,100.0
48,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,0.0,0.0
49,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,0.0,33.333333333333336
50,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,0.0,66.66666666666667
51,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,0.0,100.0
52,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,33.333333333333336,0.0
53,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,33.333333333333336,33.333333333333336
54,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,33.333333333333336,66.66666666666667
55,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,33.333333333333336,100.0
56,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,66.66666666666667,0.0
57,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,66.66666666666667,33.333333333333336
58,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,66.66666666666667,66.66666666666667
59,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,66.66666666666667,100.0
60,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,100.0,0.0
61,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,100.0,33.333333333333336
62,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,100.0,66.66666666666667
63,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,0.0,100.0,100.0,100.0
64,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,0.0,0.0
65,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,0.0,33.333333333333336
66,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,0.0,66.66666666666667
67,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,0.0,100.0
68,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,33.333333333333336,0.0
69,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,33.333333333333336,33.333333333333336
70,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,33.333333333333336,66.66666666666667
71,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,33.333333333333336,100.0
72,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,66.66666666666667,0.0
73,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,66.66666666666667,33.333333333333336
74,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,66.66666666666667,66.66666666666667
75,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,66.66666666666667,100.0
76,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,100.0,0.0
77,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,100.0,33.333333333333336
78,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,100.0,66.66666666666667
79,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,0.0,100.0,100.0
80,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,0.0,0.0
81,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,0.0,33.333333333333336
82,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,0.0,66.66666666666667
83,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,0.0,100.0
84,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,33.333333333333336,0.0
85,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
86,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667
87,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,33.333333333333336,100.0
88,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,66.66666666666667,0.0
89,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,66.66666666666667,33.333333333333336
90,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667
91,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,66.66666666666667,100.0
92,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,100.0,0.0
93,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,100.0,33.333333333333336
94,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,100.0,66.66666666666667
95,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,33.333333333333336,100.0,100.0
96,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,0.0,0.0
97,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,0.0,33.333333333333336
98,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,0.0,66.66666666666667
99,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,0.0,100.0
100,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,33.333333333333336,0.0
101,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,33.333333333333336,33.333333333333336
102,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,33.333333333333336,66.66666666666667
103,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,33.333333333333336,100.0
104,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,66.66666666666667,0.0
105,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336
106,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667
107,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,66.66666666666667,100.0
108,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,100.0,0.0
109,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,100.0,33.333333333333336
110,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,100.0,66.66666666666667
111,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,66.66666666666667,100.0,100.0
112,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,100.0,0.0,0.0
113,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,100.0,0.0,33.333333333333336
114,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,100.0,0.0,66.66666666666667
115,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,100.0,0.0,100.0
116,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,100.0,33.333333333333336,0.0
117,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,100.0,33.333333333333336,33.333333333333336
118,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,100.0,33.333333333333336,66.66666666666667
119,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,100.0,33.333333333333336,100.0
120,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,100.0,66.66666666666667,0.0
121,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,100.0,66.66666666666667,33.333333333333336
122,NPGDA,NPGDA,ZrO2,TeO2,NanoDiamond,ZnS,33.333333333333336,100.0,66.66666666666667,66.66666666666667
